COUNT;Geo Local Area;Geom
2;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.168691183422, 49.2678557577484]}"
4;West End;"{""type"": ""Point"", ""coordinates"": [-123.129735939391, 49.2873958065889]}"
5;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.034526004546, 49.2336808183182]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.096004128946, 49.2815634880003]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.115919426108, 49.2862337084847]}"
1;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.091022453024, 49.246322840737]}"
9;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.085945150341, 49.2807659882725]}"
3;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.100823209434, 49.2342240992368]}"
1;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.043852878011, 49.2567499498929]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.120131523468, 49.2630182016568]}"
10;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.092527617098, 49.2627957330897]}"
7;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.088658554441, 49.2627641711892]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.109867987073, 49.2842810477416]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.128530117474, 49.2790937518113]}"
3;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138942463385, 49.2646326475055]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.143743446815, 49.2639784628682]}"
3;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.100931983167, 49.243760735246]}"
5;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.057044919372, 49.273702258934]}"
1;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.09028327119, 49.2287657707351]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.124447881794, 49.274120779031]}"
5;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.046053218613, 49.2584131723117]}"
5;West End;"{""type"": ""Point"", ""coordinates"": [-123.134047553537, 49.2818300505803]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.111236998945, 49.2799459605273]}"
1;;"{""type"": ""Point"", ""coordinates"": [-123.144260459636, 49.291217310657]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.064884322158, 49.2425149839554]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.126344928205, 49.2882253834632]}"
5;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.087479587151, 49.2832173716651]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.10379719423, 49.2689146168722]}"
2;West End;"{""type"": ""Point"", ""coordinates"": [-123.140402598667, 49.2879253066379]}"
2;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.209818340647, 49.2640980547146]}"
3;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.128404948339, 49.2792265699178]}"
8;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.148921835044, 49.2678035197768]}"
1;Arbutus-Ridge;"{""type"": ""Point"", ""coordinates"": [-123.155873993617, 49.2360145102788]}"
