COUNT;Geo Local Area;Geom
4;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.065160907369, 49.2321948977879]}"
6;West End;"{""type"": ""Point"", ""coordinates"": [-123.13458614904, 49.2917294738654]}"
2;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.09118387311, 49.2259451026656]}"
13;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.086583324702, 49.2807796882482]}"
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.076729580698, 49.2826619839673]}"
2;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.065327528795, 49.2256356947994]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.132689763504, 49.2627911225465]}"
1;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.114084889775, 49.2508337247199]}"
1;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.11679797759, 49.2340018109989]}"
3;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.115829607311, 49.2498056062851]}"
3;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.115825022217, 49.2498955631612]}"
1;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.100877412137, 49.2449481450504]}"
1;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.100874649626, 49.2450016691102]}"
6;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.095012254119, 49.2809308673945]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.135472198322, 49.2641888432224]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.135837001041, 49.2641947115587]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.077411642811, 49.2801130154753]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.059659880751, 49.2750205053877]}"
9;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.098972536516, 49.260442057896]}"
11;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.07698650686, 49.2712374975981]}"
1;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.132938901529, 49.2051458506661]}"
1;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.051286597066, 49.2814119946041]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.074351322749, 49.2791474316695]}"
3;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.110958809534, 49.2689309441299]}"
4;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.070027182777, 49.2626156365514]}"
4;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.060347529147, 49.2424991465785]}"
7;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.185035918988, 49.2366583863747]}"
1;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.036172089067, 49.2346311395456]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.106237233437, 49.2815239492945]}"
3;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.110426166587, 49.280855998013]}"
2;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.159448307434, 49.2679742523053]}"
7;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.10122042281, 49.282131534456]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.063211577003, 49.2698098978204]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.071096363944, 49.2773247356433]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.071291595386, 49.2773273139093]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.072001876705, 49.2773340606484]}"
7;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.071638360635, 49.2764175963892]}"
5;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.063335992418, 49.2845389835632]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.128124878031, 49.263714793455]}"
1;Shaughnessy;"{""type"": ""Point"", ""coordinates"": [-123.142950232849, 49.2499146856485]}"
2;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.066101229021, 49.2265552542134]}"
2;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.066096140816, 49.2268592790013]}"
3;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.031678279367, 49.2389083763552]}"
1;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.147746043927, 49.2071657082247]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.058894195682, 49.2818198789341]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.066067471526, 49.2795648580259]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.066273711394, 49.2795678882346]}"
1;Kerrisdale;"{""type"": ""Point"", ""coordinates"": [-123.15572784477, 49.2171610246028]}"
6;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.112466918434, 49.2633475402274]}"
1;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.10069674963, 49.2482845803609]}"
20;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.099484447199, 49.2761170827358]}"
1;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.185608537117, 49.2457346871486]}"
8;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.176997390372, 49.2639631150333]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.068343319937, 49.2666050729139]}"
5;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.096309632737, 49.2769604805708]}"
4;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.15300496784, 49.2684037958725]}"
5;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.069457257135, 49.2474623033572]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.144492635136, 49.2677363364499]}"
6;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.101324866461, 49.2657750309358]}"
6;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.101305428429, 49.2661364662055]}"
4;West End;"{""type"": ""Point"", ""coordinates"": [-123.139182359409, 49.2893383406283]}"
9;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.177144735405, 49.268739919161]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.13293485337, 49.2907990635052]}"
13;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.102787435802, 49.2820752626029]}"
4;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.085422918405, 49.2807564898186]}"
6;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.111841723126, 49.2835977068335]}"
14;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.100066200696, 49.2824928055692]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.088031281917, 49.2711590524319]}"
7;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.058701928274, 49.2808768414929]}"
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.064026387588, 49.2845385940942]}"
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.075965054846, 49.2773695727451]}"
8;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.103469539765, 49.2807046792247]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.067154340358, 49.2507946245653]}"
4;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.10385713236, 49.2807101693791]}"
2;West End;"{""type"": ""Point"", ""coordinates"": [-123.139811911196, 49.2890935867275]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.10038039772, 49.2668150799575]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.068047584415, 49.2736497890095]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.120861554103, 49.2625991541482]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.083054438674, 49.2539226766237]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.148563524756, 49.2743228089349]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.102504802941, 49.2652666337378]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.065907982055, 49.2786668792985]}"
8;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.122765193335, 49.2798196620463]}"
1;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.140155327124, 49.2073666151269]}"
4;West End;"{""type"": ""Point"", ""coordinates"": [-123.133793648992, 49.2900416509274]}"
2;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.076865795896, 49.275076841973]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.143654239208, 49.2677221080131]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.143759400485, 49.2677242260191]}"
1;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.044489878733, 49.2432915538934]}"
8;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.121392540916, 49.280723787617]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.067051004061, 49.2832417716206]}"
6;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.077094178534, 49.2510637811954]}"
5;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.093971051368, 49.283333646843]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.107698489826, 49.2653728112035]}"
2;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069179430807, 49.2746093532436]}"
8;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.103604323473, 49.268521079158]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.152771028742, 49.2593489713589]}"
6;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.12750154102, 49.2794062865789]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.183122037511, 49.2640327911379]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.132959081198, 49.2832598772883]}"
5;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.091039886428, 49.2298036526058]}"
6;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.101560092233, 49.2581149277281]}"
6;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.106306581068, 49.2821163348912]}"
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.061057216102, 49.2808980819249]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.063011375781, 49.2588539214259]}"
8;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.119689778013, 49.2810595909082]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.100854574772, 49.2571967205025]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.077954329246, 49.2754056513875]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.120135203411, 49.2656267894338]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.104206089989, 49.2605619409322]}"
2;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.09214537309, 49.2823993490308]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138749692293, 49.2694076044731]}"
4;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.171780847351, 49.268146239234]}"
6;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.143158034488, 49.2639510346933]}"
4;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.100835567793, 49.2466446556559]}"
9;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.101820732779, 49.2626589978813]}"
11;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.057134744177, 49.2624878930324]}"
11;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.057130067233, 49.2625797813748]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.06588764378, 49.2842577709776]}"
4;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.11026834717, 49.2844371824089]}"
7;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.05828530422, 49.28087435384]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.078584089333, 49.2779302540546]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.065066199763, 49.2353230677901]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.060103309332, 49.2816793813637]}"
3;West End;"{""type"": ""Point"", ""coordinates"": [-123.127674599045, 49.2853017868002]}"
4;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.184019557374, 49.2640443182628]}"
2;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.073245586998, 49.282495603354]}"
1;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090362410475, 49.2262268591642]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.090388755279, 49.2645865814618]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.060610632396, 49.282736040478]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.060809308942, 49.2827390754116]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.108324710273, 49.2680883897599]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.108742600545, 49.2680956341464]}"
2;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.062404230193, 49.275948195568]}"
3;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.091458458028, 49.2119303276452]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.081854335706, 49.2740280849771]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.059371603534, 49.275925560573]}"
1;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.047246251993, 49.2678450085021]}"
6;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.170159456429, 49.2643584906293]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.089737964841, 49.2836478400216]}"
2;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.096591499546, 49.2824791662514]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.121088305455, 49.2873207811825]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.121125987825, 49.2875469702]}"
1;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.139983841235, 49.212400993103]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.117258551246, 49.2847287423692]}"
1;Kerrisdale;"{""type"": ""Point"", ""coordinates"": [-123.156494832905, 49.234309061459]}"
11;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.101196624866, 49.2810578279319]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.095626106028, 49.2828551579809]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.126022971536, 49.2776631308496]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.102907379533, 49.2830884714358]}"
4;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.168425131144, 49.2637925525888]}"
3;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.120579692063, 49.2812880157795]}"
4;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.098638075431, 49.2778556240612]}"
5;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.102093851355, 49.2639669656987]}"
2;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.03231649783, 49.2382605330893]}"
1;Kerrisdale;"{""type"": ""Point"", ""coordinates"": [-123.161880601049, 49.2316704283933]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.123551960837, 49.2772277518902]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.123477696672, 49.2772737067197]}"
10;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.103202855851, 49.2631750679672]}"
3;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.100886467345, 49.2564055813658]}"
1;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.066207682098, 49.2258240852473]}"
4;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.070106689218, 49.2611861509385]}"
2;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.114775613181, 49.2540762145612]}"
4;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.140241921414, 49.2076403268138]}"
1;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.090415991776, 49.2544645722074]}"
5;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.098876885328, 49.2801030819697]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.100527052032, 49.2735890092497]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.084611357081, 49.2813489786241]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.089778121127, 49.2617738248656]}"
11;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.187387773681, 49.2632085387771]}"
4;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.115496942466, 49.2551890860196]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.106218538827, 49.2649881340635]}"
1;Arbutus-Ridge;"{""type"": ""Point"", ""coordinates"": [-123.16034985175, 49.2348974076698]}"
2;Arbutus-Ridge;"{""type"": ""Point"", ""coordinates"": [-123.168059887427, 49.2498019371629]}"
2;Arbutus-Ridge;"{""type"": ""Point"", ""coordinates"": [-123.168256387455, 49.2498038999626]}"
1;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.145000464265, 49.2096476789475]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.152382931424, 49.262590917695]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.151730861435, 49.2660480672954]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.141820157702, 49.2664952603261]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.146871357345, 49.2665007786142]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.146315334859, 49.2665079965899]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.148683240039, 49.266542447784]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.148895941277, 49.2665438739717]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.149105346778, 49.2665463474646]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.149726613623, 49.2665510131448]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.141132182655, 49.2667400976004]}"
1;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.034953638269, 49.2329336430889]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.07319844233, 49.2836964080395]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.091104940595, 49.2566317256094]}"
2;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.039491963, 49.2360837294284]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.076969180233, 49.2691484741437]}"
1;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.046030006743, 49.2805030776562]}"
2;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.080572373443, 49.2820674678175]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.117751286267, 49.2834005265727]}"
1;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.184442839459, 49.235063108992]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.12245002615, 49.2761892882507]}"
11;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.093162907349, 49.2808982095343]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.092157955461, 49.2777735498791]}"
3;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.108050315855, 49.2649790415144]}"
15;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.09304086035, 49.2815083608363]}"
15;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.093252748926, 49.2815122378619]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.100576329378, 49.2801441624602]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.100680136696, 49.280144521818]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.110633519616, 49.2651429632143]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.1253448012, 49.2773280782388]}"
11;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.108555691206, 49.2815427892131]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.092935127472, 49.2837041953017]}"
1;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.115749803008, 49.2543203444511]}"
8;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.090728711633, 49.2621747183485]}"
2;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.149021471368, 49.2634470045254]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.131092786251, 49.2641238224424]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.073822623197, 49.2488082241223]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.079577034515, 49.2825664902958]}"
16;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.123692380448, 49.2792042933301]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.121415281422, 49.2799168960309]}"
4;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.111530493518, 49.2833929266507]}"
6;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.102508738718, 49.2685067824924]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.160859549031, 49.2694025781214]}"
8;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.071823759952, 49.2479532552457]}"
8;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.07192054297, 49.2479981621876]}"
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.076563232018, 49.2791789815603]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.07011289444, 49.2788260027999]}"
5;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.10362430137, 49.2666856717175]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.140089003263, 49.2673253356407]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.115939453424, 49.2589540135088]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.080854250354, 49.2820717685143]}"
1;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.05336696354, 49.2393393430411]}"
1;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.053471016077, 49.2393919170944]}"
5;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.076461094566, 49.2819915715958]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.134490739973, 49.2917921103256]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.125749626558, 49.2626883692422]}"
3;West End;"{""type"": ""Point"", ""coordinates"": [-123.131610712209, 49.2901538447967]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.075443922433, 49.2737925286569]}"
3;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.079666403311, 49.2529043927731]}"
3;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.115832149228, 49.2497174505015]}"
5;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.175091959453, 49.2644527400214]}"
2;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.064969416382, 49.2793968480004]}"
6;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.095211352359, 49.2809342026388]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.135442213367, 49.2638295198654]}"
2;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069171170512, 49.2746993100626]}"
9;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.098548836854, 49.2603761343602]}"
9;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.099185845341, 49.2604450232988]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.096325891037, 49.2837697818113]}"
3;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.111280806911, 49.2687759080612]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.117446081131, 49.2845958641155]}"
3;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.067782922188, 49.2538233806111]}"
10;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.109343787142, 49.2838979007864]}"
10;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.109532321742, 49.2839683433429]}"
8;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.089293189251, 49.2808007435644]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.135799962553, 49.2654131556892]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.130290478223, 49.2793924532743]}"
2;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.098987534348, 49.2721246349494]}"
13;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.077748155174, 49.2506491308365]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.074565521018, 49.278775882629]}"
5;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.149086383752, 49.2683091886971]}"
3;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.100340717367, 49.2685246610611]}"
10;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.070208578598, 49.2472082287044]}"
2;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.080283816363, 49.2786764772698]}"
7;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.10971605613, 49.2628327268892]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.07158802897, 49.2773298291905]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.071451905859, 49.2773299134447]}"
7;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.071781755973, 49.2764188566751]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.10161448489, 49.2643926545818]}"
5;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.127070658175, 49.2761568729213]}"
2;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.066109779382, 49.226252117959]}"
4;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.065109860238, 49.2335815177783]}"
1;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.045105786613, 49.2697928920779]}"
5;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.11445565277, 49.2832680917139]}"
1;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.036031913849, 49.234564609511]}"
2;West End;"{""type"": ""Point"", ""coordinates"": [-123.140345375011, 49.2885391165435]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.090484692582, 49.2808501806824]}"
5;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.057046189347, 49.2736114069018]}"
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.07606577167, 49.2819886841939]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.112869690683, 49.2855695377482]}"
4;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.05806734871, 49.2814249684017]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.104453174915, 49.2685319816746]}"
